,date,transect,spp,location_cm,height_cm,demographic,flower,year
35,4/1/2022,t1,AMDU2,1968,37,M,0,2022
36,4/1/2022,t1,LATR2,1987,97,M,0,2022
37,4/1/2022,t1,AMDU2,2223,25,D,0,2022
38,4/1/2022,t1,LATR2,2578,110,M,0,2022
39,4/1/2022,t1,LYAN,2600,60,M,0,2022
40,4/1/2022,t1,AMDU2,2680,43,M,0,2022
41,4/1/2022,t1,AMDU2,2838,27,D,0,2022
42,4/1/2022,t1,AMDU2,2930,41,M,0,2022
43,4/1/2022,t1,LYAN,2978,35,M,0,2022
44,4/1/2022,t1,LYAN,3138,55,M,0,2022
45,4/1/2022,t1,LATR2,3423,40,M,0,2022
46,4/1/2022,t1,KRER,3495,34,M,0,2022
47,4/1/2022,t1,EPNE,3815,40,M,0,2022
48,4/1/2022,t1,LYAN,3838,39,M,0,2022
49,4/1/2022,t1,AMDU2,4165,4,D,0,2022
50,4/1/2022,t1,LATR2,4460,83,M,0,2022
51,4/1/2022,t1,AMDU2,3496,37,M,0,2022
52,4/1/2022,t1,LATR2,3561,76,M,0,2022
53,4/1/2022,t1,LATR2,4583,51,M,0,2022
54,4/1/2022,t1,LATR2,4757,80,D,0,2022
55,4/1/2022,t1,AMDU2,4784,45,M,0,2022
56,4/1/2022,t1,LATR2,4795,65,M,0,2022
57,4/1/2022,t1,AMDU2,4815,38,D,0,2022
58,4/1/2022,t1,AMDU2,4955,35,M,0,2022
59,4/1/2022,t1,AMDU2,4970,45,M,0,2022
60,4/1/2022,t1,AMDU2,5100,5,D,0,2022
61,4/1/2022,t1,LYAN,5495,37,S,0,2022
62,4/1/2022,t1,AMDU2,5535,37,D,0,2022
63,4/1/2022,t1,AMDU2,5915,47,S,0,2022
64,4/1/2022,t1,LATR2,5990,85,M,0,2022
65,4/1/2022,t1,AMDU2,6015,44,M,0,2022
66,4/1/2022,t1,LATR2,6040,86,M,0,2022
67,4/1/2022,t1,AMDU2,6210,45,M,0,2022
68,4/1/2022,t1,LATR2,6345,58,M,0,2022
69,4/1/2022,t1,AMDU2,6590,23,M,0,2022
70,4/1/2022,t1,AMDU2,6625,37,M,0,2022
71,4/1/2022,t1,AMDU2,6680,4,Y,0,2022
72,4/1/2022,t1,AMDU2,6715,2,Y,0,2022
73,4/1/2022,t1,AMDU2,6725,46,M,0,2022
74,4/1/2022,t1,AMDU2,6740,3,Y,0,2022
75,4/1/2022,t1,AMDU2,6780,2,Y,0,2022
76,4/1/2022,t1,LYAN,7085,39,M,0,2022
77,4/1/2022,t1,AMDU2,7060,40,M,0,2022
78,4/1/2022,t1,AMDU2,7100,34,M,0,2022
79,4/1/2022,t1,AMDU2,7125,26,D,0,2022
80,4/1/2022,t1,AMDU2,7165,33,M,0,2022
81,4/1/2022,t1,LATR2,7160,114,M,0,2022
82,4/1/2022,t1,LATR2,7275,103,M,0,2022
83,4/1/2022,t1,LATR2,7355,62,M,0,2022
84,4/1/2022,t1,AMDU2,7420,23,D,0,2022
85,4/1/2022,t1,LATR2,7445,77,M,0,2022
86,4/1/2022,t1,AMDU2,7805,28,D,0,2022
87,4/1/2022,t1,AMDU2,7985,34,M,0,2022
88,4/1/2022,t1,AMDU2,8035,30,M,0,2022
89,4/1/2022,t1,LATR2,8050,66,M,0,2022
90,4/1/2022,t1,AMDU2,8135,15,D,0,2022
91,4/1/2022,t1,EPNE,8140,34,D,0,2022
92,4/1/2022,t1,AMDU2,8235,39,M,0,2022
93,4/1/2022,t1,KRER,8250,33,M,0,2022
94,4/1/2022,t1,KRER,8300,28,M,0,2022
95,4/1/2022,t1,SAME,8380,34,D,0,2022
96,4/1/2022,t1,SAME,8390,63,D,0,2022
97,4/1/2022,t1,AMDU2,8415,45,D,0,2022
98,4/1/2022,t1,SAME,8435,27,D,0,2022
99,4/1/2022,t1,SAME,8445,56,D,0,2022
100,4/1/2022,t1,EPNE,8450,49,D,0,2022
101,4/1/2022,t1,AMDU2,8460,44,M,0,2022
102,4/1/2022,t1,EPNE,8575,39,D,0,2022
103,4/1/2022,t1,KRER,8520,35,M,0,2022
104,4/1/2022,t1,SAME,8540,28,D,0,2022
105,4/1/2022,t1,SAME,8560,48,D,0,2022
106,4/1/2022,t1,LYAN,8750,60,M,0,2022
107,4/1/2022,t1,KRER,8835,39,M,0,2022
108,4/1/2022,t1,SAME,8860,57,D,0,2022
109,4/1/2022,t1,SAME,8880,35,D,0,2022
110,4/1/2022,t1,SAME,8900,46,D,0,2022
111,4/1/2022,t1,LATR2,8920,98,M,0,2022
112,4/1/2022,t1,EPNE,9025,62,M,0,2022
113,4/1/2022,t1,LYAN,9055,52,M,0,2022
114,4/1/2022,t1,AMDU2,9100,43,D,0,2022
115,4/1/2022,t1,AMDU2,9490,31,M,0,2022
116,4/1/2022,t1,EPNE,9755,26,D,0,2022
117,4/1/2022,t1,ERIN4,8365,23,D,0,2022
118,4/1/2022,t1,ERIN4,8350,19,D,0,2022
119,4/1/2022,t1,ERIN4,8350,19,D,0,2022
120,4/1/2022,t1,ERIN4,8340,17,D,0,2022
121,4/1/2022,t1,ERIN4,8345,26,D,0,2022
122,4/1/2022,t1,ERIN4,8320,23,D,0,2022
123,4/1/2022,t1,ERIN4,8240,40,D,0,2022
124,4/1/2022,t1,ERIN4,5695,10,D,0,2022
125,4/1/2022,t1,ERIN4,5615,10,D,0,2022
126,4/1/2022,t1,ERIN4,5610,12,D,0,2022
127,4/1/2022,t1,ERIN4,5610,15,D,0,2022
128,4/1/2022,t1,ERIN4,5605,21,D,0,2022
129,4/1/2022,t1,ERIN4,5595,30,D,0,2022
130,4/1/2022,t1,ERIN4,5590,27,D,0,2022
131,4/1/2022,t1,ERIN4,5590,26,D,0,2022
132,4/1/2022,t1,ERIN4,5580,25,D,0,2022
133,4/4/2022,t2,AMDU2,13,39,D,0,2022
134,4/4/2022,t2,AMDU2,41,30,S,0,2022
135,4/4/2022,t2,AMDU2,45,8,D,0,2022
136,4/4/2022,t2,AMDU2,65,19,D,0,2022
137,4/4/2022,t2,AMDU2,383,58,M,0,2022
138,4/4/2022,t2,AMDU2,414,7,D,0,2022
139,4/4/2022,t2,AMDU2,444,47,M,0,2022
140,4/4/2022,t2,AMDU2,499,40,M,0,2022
141,4/4/2022,t2,AMDU2,510,4,D,0,2022
142,4/4/2022,t2,AMDU2,532,20,D,0,2022
143,4/4/2022,t2,YUSC2,578,95,M,0,2022
144,4/4/2022,t2,ACSH,606,30,M,0,2022
145,4/4/2022,t2,MESP2,617,73,M,0,2022
146,4/4/2022,t2,AMDU2,636,3,D,0,2022
147,4/4/2022,t2,AMDU2,679,5,D,0,2022
148,4/4/2022,t2,ACSH,870,28,S,0,2022
149,4/4/2022,t2,AMDU2,894,34,A,0,2022
150,4/4/2022,t2,AMDU2,910,20,D,0,2022
151,4/4/2022,t2,EPNE,1610,10,D,0,2022
152,4/4/2022,t2,EPNE,1629,40,S,0,2022
153,4/4/2022,t2,EPNE,1635,40,S,0,2022
154,4/4/2022,t2,EPNE,1658,35,D,0,2022
155,4/4/2022,t2,EPNE,1685,45,D,0,2022
156,4/4/2022,t2,EPNE,1690,34,D,0,2022
157,4/4/2022,t2,EPNE,1675,20,D,0,2022
158,4/4/2022,t2,AMDU2,1700,20,D,0,2022
159,4/4/2022,t2,LATR2,1795,78,M,0,2022
160,4/4/2022,t2,LATR2,1825,55,M,0,2022
161,4/4/2022,t2,KRER,1975,36,M,0,2022
162,4/4/2022,t2,AMDU2,1983,40,M,0,2022
163,4/4/2022,t2,AMDU2,2086,3,D,0,2022
164,4/4/2022,t2,AMDU2,2079,3,D,0,2022
165,4/4/2022,t2,KRER,2185,32,M,0,2022
166,4/4/2022,t2,LATR2,2436,145,M,0,2022
167,4/4/2022,t2,LATR2,2501,80,M,0,2022
168,4/4/2022,t2,MESP2,2564,57,S,0,2022
169,4/4/2022,t2,EPNE,2945,63,M,0,2022
170,4/4/2022,t2,AMDU2,3225,52,M,0,2022
171,4/4/2022,t2,AMDU2,3284,36,M,0,2022
172,4/4/2022,t2,AMDU2,3372,4,D,0,2022
173,4/4/2022,t2,AMDU2,3516,11,D,0,2022
174,4/4/2022,t2,AMDU2,3534,31,M,0,2022
175,4/4/2022,t2,AMDU2,3585,4,D,0,2022
176,4/4/2022,t2,AMDU2,3639,11,D,0,2022
177,4/4/2022,t2,AMDU2,3674,24,D,0,2022
178,4/4/2022,t2,AMDU2,3909,4,D,0,2022
179,4/4/2022,t2,AMDU2,3915,36,D,0,2022
180,4/4/2022,t2,AMDU2,3940,15,D,0,2022
181,4/4/2022,t2,LATR2,4141,115,M,0,2022
182,4/4/2022,t2,AMDU2,4419,39,D,0,2022
183,4/4/2022,t2,AMDU2,4761,24,D,0,2022
184,4/4/2022,t2,AMDU2,4819,19,D,0,2022
185,4/4/2022,t2,AMDU2,4837,21,D,0,2022
186,4/4/2022,t2,AMDU2,4848,22,D,0,2022
187,4/4/2022,t2,AMDU2,4857,13,D,0,2022
188,4/4/2022,t2,AMDU2,5350,38,D,0,2022
189,4/4/2022,t2,KRER,5370,29,M,0,2022
190,4/4/2022,t2,LATR2,5986,113,M,0,2022
191,4/4/2022,t2,AMDU2,6036,58,M,0,2022
192,4/4/2022,t2,AMDU2,6344,39,D,0,2022
193,4/4/2022,t2,AMDU2,6523,31,M,0,2022
194,4/4/2022,t2,AMDU2,6555,29,D,0,2022
195,4/4/2022,t2,LATR2,6872,87,M,0,2022
196,4/4/2022,t2,LATR2,7783,115,M,0,2022
197,4/4/2022,t2,AMDU2,7862,21,D,0,2022
198,4/4/2022,t2,AMDU2,8409,46,M,0,2022
199,4/4/2022,t2,AMDU2,8564,20,D,0,2022
200,4/4/2022,t2,AMDU2,8634,56,M,0,2022
201,4/4/2022,t2,LATR2,8833,95,M,0,2022
202,4/4/2022,t2,LATR2,8117,90,M,0,2022
203,4/4/2022,t2,AMDU2,9200,35,D,0,2022
204,4/4/2022,t2,AMDU2,9283,46,S,0,2022
205,4/4/2022,t2,AMDU2,9473,23,D,0,2022
206,4/4/2022,t2,AMDU2,9503,31,D,0,2022
207,4/4/2022,t2,AMDU2,9708,25,M,0,2022
208,4/4/2022,t2,AMDU2,9809,48,M,0,2022
209,4/4/2022,t2,AMDU2,9934,39,D,0,2022
210,4/5/2022,t3,AMDU2,50,38,S,0,2022
211,4/5/2022,t3,AMDU2,72,48,M,0,2022
212,4/5/2022,t3,LATR2,229,61,M,0,2022
213,4/5/2022,t3,LATR2,340,93,M,0,2022
214,4/5/2022,t3,AMDU2,520,7,D,0,2022
215,4/5/2022,t3,AMDU2,632,30,M,0,2022
216,4/5/2022,t3,AMDU2,666,11,D,0,2022
217,4/5/2022,t3,EPNE,921,31,D,0,2022
218,4/5/2022,t3,EPNE,956,27,D,0,2022
219,4/5/2022,t3,AMDU2,1112,54,M,0,2022
220,4/5/2022,t3,AMDU2,1116,8,D,0,2022
221,4/5/2022,t3,AMDU2,1189,24,D,0,2022
222,4/5/2022,t3,ERIN4,2367,26,S,0,2022
223,4/5/2022,t3,ERIN4,2373,21,S,0,2022
224,4/5/2022,t3,ERIN4,2379,27,S,0,2022
225,4/5/2022,t3,ERIN4,2428,16,S,0,2022
226,4/5/2022,t3,ERIN4,2438,27,S,0,2022
227,4/5/2022,t3,ERIN4,2509,41,S,0,2022
228,4/5/2022,t3,AMDU2,2909,27,D,0,2022
229,4/5/2022,t3,ERIN4,2563,14,S,0,2022
230,4/5/2022,t3,ERIN4,2792,12,S,0,2022
231,4/5/2022,t3,ERIN4,2799,20,S,0,2022
232,4/5/2022,t3,ERIN4,2800,16,S,0,2022
233,4/5/2022,t3,AMDU2,3014,32,D,0,2022
234,4/5/2022,t3,ERIN4,3171,12,S,0,2022
235,4/5/2022,t3,LATR2,3498,84,M,0,2022
236,4/5/2022,t3,LATR2,3543,111,M,0,2022
237,4/5/2022,t3,LATR2,3551,136,M,0,2022
238,4/5/2022,t3,ERIN4,3749,34,S,0,2022
239,4/5/2022,t3,ERIN4,3861,12,S,0,2022
240,4/5/2022,t3,EPNE,4184,49,S,0,2022
241,4/5/2022,t3,ERIN4,4190,20,S,0,2022
242,4/5/2022,t3,EPNE,4192,10,D,0,2022
243,4/5/2022,t3,LATR2,4250,138,M,0,2022
244,4/5/2022,t3,AMDU2,4455,55,M,0,2022
245,4/5/2022,t3,AMDU2,4745,13,D,0,2022
246,4/5/2022,t3,AMDU2,4845,39,S,0,2022
247,4/5/2022,t3,AMDU2,4890,44,S,0,2022
248,4/5/2022,t3,AMDU2,4911,41,M,0,2022
249,4/5/2022,t3,LATR2,4968,62,M,0,2022
250,4/5/2022,t3,AMDU2,5134,19,D,0,2022
251,4/5/2022,t3,AMDU2,5159,32,D,0,2022
252,4/5/2022,t3,LYAN,5246,60,M,0,2022
253,4/5/2022,t3,AMDU2,5358,9,D,0,2022
254,4/5/2022,t3,AMDU2,5412,37,S,0,2022
255,4/5/2022,t3,LATR2,5652,102,M,0,2022
256,4/5/2022,t3,AMDU2,5867,15,D,0,2022
257,4/5/2022,t3,AMDU2,5914,20,D,0,2022
258,4/5/2022,t3,AMDU2,5914,20,D,0,2022
259,4/5/2022,t3,EPNE,6019,58,M,0,2022
260,4/5/2022,t3,LATR2,6374,92,M,0,2022
261,4/5/2022,t3,AMDU2,6450,30,D,0,2022
262,4/5/2022,t3,AMDU2,6483,5,D,0,2022
263,4/5/2022,t3,AMDU2,6497,50,S,0,2022
264,4/5/2022,t3,ACSH,6527,25,S,0,2022
265,4/5/2022,t3,AMDU2,6580,19,D,0,2022
266,4/5/2022,t3,ACSH,6624,34,S,0,2022
267,4/5/2022,t3,AMDU2,6713,15,D,0,2022
268,4/5/2022,t3,ACSH,6771,39,S,0,2022
269,4/5/2022,t3,AMDU2,7110,50,S,0,2022
270,4/5/2022,t3,AMDU2,7229,26,D,0,2022
271,4/5/2022,t3,AMDU2,7568,10,D,0,2022
272,4/5/2022,t3,AMDU2,7884,36,S,0,2022
273,4/5/2022,t3,AMDU2,7890,38,S,0,2022
274,4/5/2022,t3,AMDU2,7889,39,S,0,2022
275,4/5/2022,t3,AMDU2,7910,43,S,0,2022
276,4/5/2022,t3,LATR2,8051,123,M,0,2022
277,4/5/2022,t3,EPNE,8136,35,D,0,2022
278,4/5/2022,t3,EPNE,8678,44,M,0,2022
279,4/5/2022,t3,EPNE,8726,37,D,0,2022
280,4/5/2022,t3,AMDU2,8783,15,D,0,2022
281,4/5/2022,t3,LYAN,8800,63,S,0,2022
282,4/5/2022,t3,AMDU2,8836,26,D,0,2022
283,4/5/2022,t3,AMDU2,8852,26,D,0,2022
284,4/5/2022,t3,EPNE,8895,85,M,0,2022
285,4/5/2022,t3,KRER,8825,31,M,0,2022
286,4/5/2022,t3,AMDU2,9038,34,S,0,2022
287,4/5/2022,t3,LATR2,9206,64,M,0,2022
288,4/5/2022,t3,AMDU2,9223,45,S,0,2022
289,4/5/2022,t3,AMDU2,9351,43,S,0,2022
290,4/5/2022,t3,LATR2,9763,113,M,0,2022
291,4/5/2022,t3,LYAN,9804,74,M,0,2022
292,4/5/2022,t4,AMDU2,345,34,S,0,2022
293,4/5/2022,t4,LATR2,401,85,M,0,2022
294,4/5/2022,t4,AMDU2,615,13,D,0,2022
295,4/5/2022,t4,AMDU2,794,45,M,0,2022
296,4/5/2022,t4,AMDU2,887,41,S,0,2022
297,4/5/2022,t4,AMDU2,899,40,S,0,2022
298,4/5/2022,t4,ACSH,908,30,S,0,2022
299,4/5/2022,t4,AMDU2,1089,52,S,0,2022
300,4/5/2022,t4,AMDU2,1859,46,S,0,2022
301,4/5/2022,t4,AMDU2,2720,51,S,0,2022
302,4/5/2022,t4,AMDU2,2821,12,D,0,2022
303,4/5/2022,t4,AMDU2,3368,39,M,0,2022
304,4/5/2022,t4,AMDU2,3394,26,D,0,2022
305,4/5/2022,t4,LATR2,3513,74,M,0,2022
306,4/5/2022,t4,AMDU2,3553,44,M,0,2022
307,4/5/2022,t4,AMDU2,3684,13,D,0,2022
308,4/5/2022,t4,AMDU2,3710,7,D,0,2022
309,4/5/2022,t4,AMDU2,3822,40,M,0,2022
310,4/5/2022,t4,AMDU2,3848,25,D,0,2022
311,4/5/2022,t4,AMDU2,4141,25,M,0,2022
312,4/5/2022,t4,KRER,4207,33,M,0,2022
313,4/5/2022,t4,LATR2,4260,145,M,0,2022
314,4/5/2022,t4,AMDU2,4315,43,M,0,2022
315,4/5/2022,t4,AMDU2,4406,40,M,0,2022
316,4/5/2022,t4,AMDU2,4556,27,D,0,2022
317,4/5/2022,t4,MILA6,4563,11,S,0,2022
318,4/5/2022,t4,AMDU2,4638,20,D,0,2022
319,4/5/2022,t4,KRER,4715,32,M,0,2022
320,4/5/2022,t4,AMDU2,4836,48,M,0,2022
321,4/5/2022,t4,KRER,4886,32,M,0,2022
322,4/5/2022,t4,AMDU2,4999,13,D,0,2022
323,4/5/2022,t4,AMDU2,5022,26,D,0,2022
324,4/5/2022,t4,YUSC2,5203,56,D,0,2022
325,4/5/2022,t4,AMDU2,5277,11,D,0,2022
326,4/5/2022,t4,AMDU2,5350,57,M,0,2022
327,4/5/2022,t4,AMDU2,5456,28,M,0,2022
328,4/5/2022,t4,AMDU2,5719,5,D,0,2022
329,4/5/2022,t4,AMDU2,5743,16,D,0,2022
330,4/5/2022,t4,AMDU2,5766,8,D,0,2022
331,4/5/2022,t4,ACSH,5780,37,S,0,2022
332,4/5/2022,t4,AMDU2,5794,46,M,0,2022
333,4/5/2022,t4,AMDU2,5857,18,D,0,2022
334,4/5/2022,t4,AMDU2,5908,9,D,0,2022
335,4/5/2022,t4,EPNE,6030,13,M,0,2022
336,4/5/2022,t4,AMDU2,6236,36,M,0,2022
337,4/5/2022,t4,ACSH,6253,32,S,0,2022
338,4/5/2022,t4,ACSH,6259,25,S,0,2022
339,4/5/2022,t4,ACSH,6424,34,S,0,2022
340,4/5/2022,t4,ACSH,6434,10,D,0,2022
341,4/5/2022,t4,ACSH,6637,37,S,0,2022
342,4/5/2022,t4,AMDU2,7114,5,D,0,2022
343,4/5/2022,t4,AMDU2,7254,48,M,0,2022
344,4/5/2022,t4,LATR2,7277,58,M,0,2022
345,4/5/2022,t4,AMDU2,7280,36,M,0,2022
346,4/5/2022,t4,AMDU2,7380,15,D,0,2022
347,4/5/2022,t4,AMDU2,7389,36,M,0,2022
348,4/5/2022,t4,KRER,7400,33,M,0,2022
349,4/5/2022,t4,AMDU2,7429,26,D,0,2022
350,4/5/2022,t4,AMDU2,7629,8,D,0,2022
351,4/5/2022,t4,ACSH,7816,36,S,0,2022
352,4/5/2022,t4,AMDU2,7853,40,M,0,2022
353,4/5/2022,t4,AMDU2,8090,42,M,0,2022
354,4/5/2022,t4,LATR2,8185,123,M,0,2022
355,4/5/2022,t4,AMDU2,8212,37,M,0,2022
356,4/5/2022,t4,MILA6,8229,23,S,0,2022
357,4/5/2022,t4,ACSH,8516,25,S,0,2022
358,4/5/2022,t4,AMDU2,8554,21,D,0,2022
359,4/5/2022,t4,AMDU2,8589,20,D,0,2022
360,4/5/2022,t4,AMDU2,8617,36,D,0,2022
361,4/5/2022,t4,EPNE,8641,48,M,0,2022
362,4/5/2022,t4,ACSH,8636,29,S,0,2022
363,4/5/2022,t4,AMDU2,8768,34,M,0,2022
364,4/5/2022,t4,AMDU2,8800,29,D,0,2022
365,4/5/2022,t4,LATR2,8801,78,M,0,2022
366,4/5/2022,t4,AMDU2,8823,18,D,0,2022
367,4/5/2022,t4,ACSH,9378,38,S,0,2022
368,4/5/2022,t4,AMDU2,9811,36,S,0,2022
369,4/5/2022,t4,LATR2,9819,67,M,0,2022
370,4/5/2022,t4,KRER,9853,35,M,0,2022
371,4/5/2022,t4,AMDU2,9928,4,D,0,2022
372,4/5/2022,t4,KRER,9961,21,M,0,2022
373,4/5/2022,t4,EPNE,10000,23,D,0,2022
374,4/6/2022,t5,LATR2,0,80,M,0,2022
375,4/6/2022,t5,EPNE,206,63,M,0,2022
376,4/6/2022,t5,AMDU2,213,26,M,0,2022
377,4/6/2022,t5,EPNE,332,16,D,0,2022
378,4/6/2022,t5,AMDU2,452,58,S,0,2022
379,4/6/2022,t5,AMDU2,467,47,S,0,2022
380,4/6/2022,t5,AMDU2,610,42,S,0,2022
381,4/6/2022,t5,LATR2,650,71,M,0,2022
382,4/6/2022,t5,EPNE,667,78,M,0,2022
383,4/6/2022,t5,MESP2,772,31,M,0,2022
384,4/6/2022,t5,KRER,855,22,M,0,2022
385,4/6/2022,t5,AMDU2,956,37,S,0,2022
386,4/6/2022,t5,AMDU2,1113,27,D,0,2022
387,4/6/2022,t5,AMDU2,1110,19,D,0,2022
388,4/6/2022,t5,AMDU2,1193,7,D,0,2022
389,4/6/2022,t5,ERIN4,1226,13,S,0,2022
390,4/6/2022,t5,ERIN4,1251,10,S,0,2022
391,4/6/2022,t5,ERIN4,1274,20,S,0,2022
392,4/6/2022,t5,AMDU2,1310,32,D,0,2022
393,4/6/2022,t5,MILA6,1329,14,S,0,2022
394,4/6/2022,t5,AMDU2,1345,35,S,0,2022
395,4/6/2022,t5,ERIN4,1460,15,S,0,2022
396,4/6/2022,t5,LYAN,1775,1,D,0,2022
397,4/6/2022,t5,KRER,1819,28,M,0,2022
398,4/6/2022,t5,MILA6,1822,37,S,0,2022
399,4/6/2022,t5,ERIN4,1890,15,S,0,2022
400,4/6/2022,t5,KRER,1904,27,M,0,2022
401,4/6/2022,t5,ERIN4,2076,16,S,0,2022
402,4/6/2022,t5,ERIN4,2081,9,S,0,2022
403,4/6/2022,t5,ERIN4,2098,26,S,0,2022
404,4/6/2022,t5,LATR2,2126,70,M,0,2022
405,4/6/2022,t5,ERIN4,2228,12,S,0,2022
406,4/6/2022,t5,ERIN4,2250,17,S,0,2022
407,4/6/2022,t5,ERIN4,2241,13,S,0,2022
408,4/6/2022,t5,ERIN4,2284,12,S,0,2022
409,4/6/2022,t5,KRER,2316,21,M,0,2022
410,4/6/2022,t5,ERIN4,2446,17,S,0,2022
411,4/6/2022,t5,ERIN4,2462,20,S,0,2022
412,4/6/2022,t5,ERIN4,2544,16,S,0,2022
413,4/6/2022,t5,AMDU2,2580,21,D,0,2022
414,4/6/2022,t5,ERIN4,2607,18,S,0,2022
415,4/6/2022,t5,ERIN4,2656,16,S,0,2022
416,4/6/2022,t5,ERIN4,2706,13,S,0,2022
417,4/6/2022,t5,ERIN4,2425,16,S,0,2022
418,4/6/2022,t5,ERIN4,2752,17,S,0,2022
419,4/6/2022,t5,ERIN4,2786,21,S,0,2022
420,4/6/2022,t5,ERIN4,2822,16,S,0,2022
421,4/6/2022,t5,ERIN4,2909,21,S,0,2022
422,4/6/2022,t5,ERIN4,2936,16,S,0,2022
423,4/6/2022,t5,ERIN4,2934,15,S,0,2022
424,4/6/2022,t5,KRER,2974,43,S,0,2022
425,4/6/2022,t5,ERIN4,2985,17,S,0,2022
426,4/6/2022,t5,ERIN4,3003,29,S,0,2022
427,4/6/2022,t5,ERIN4,3074,34,S,0,2022
428,4/6/2022,t5,ERIN4,3160,14,S,0,2022
429,4/6/2022,t5,ERIN4,3171,13,S,0,2022
430,4/6/2022,t5,ERIN4,3261,16,S,0,2022
431,4/6/2022,t5,ERIN4,3270,16,S,0,2022
432,4/6/2022,t5,ERIN4,3281,15,S,0,2022
433,4/6/2022,t5,ERIN4,3281,15,S,0,2022
434,4/6/2022,t5,ERIN4,3290,15,S,0,2022
435,4/6/2022,t5,ERIN4,3299,17,S,0,2022
436,4/6/2022,t5,ERIN4,3300,15,S,0,2022
437,4/6/2022,t5,ERIN4,3309,14,S,0,2022
438,4/6/2022,t5,ERIN4,3316,15,S,0,2022
439,4/6/2022,t5,ERIN4,3321,15,S,0,2022
440,4/6/2022,t5,ERIN4,3336,19,S,0,2022
441,4/6/2022,t5,ERIN4,3342,19,S,0,2022
442,4/6/2022,t5,ERIN4,3346,15,S,0,2022
443,4/6/2022,t5,ERIN4,3350,28,S,0,2022
444,4/6/2022,t5,ERIN4,3362,13,S,0,2022
445,4/6/2022,t5,ERIN4,3366,35,S,0,2022
446,4/6/2022,t5,ERIN4,3388,20,S,0,2022
447,4/6/2022,t5,ERIN4,3430,40,S,0,2022
448,4/6/2022,t5,LATR2,3480,72,D,0,2022
449,4/6/2022,t5,ERIN4,3549,13,S,0,2022
450,4/6/2022,t5,AMDU2,3765,53,S,0,2022
451,4/6/2022,t5,ERIN4,3109,13,S,0,2022
452,4/6/2022,t5,KRER,3139,22,S,0,2022
453,4/6/2022,t5,ERIN4,3164,20,S,0,2022
454,4/6/2022,t5,ERIN4,4200,27,S,0,2022
455,4/6/2022,t5,ERIN4,4223,28,S,0,2022
456,4/6/2022,t5,ERIN4,4239,23,S,0,2022
457,4/6/2022,t5,ERIN4,4240,30,S,0,2022
458,4/6/2022,t5,ERIN4,4250,27,S,0,2022
459,4/6/2022,t5,ERIN4,4307,26,S,0,2022
460,4/6/2022,t5,ERIN4,4328,20,S,0,2022
461,4/6/2022,t5,ERIN4,4377,14,S,0,2022
462,4/6/2022,t5,AMDU2,4475,24,S,0,2022
463,4/6/2022,t5,AMDU2,4600,37,D,0,2022
464,4/6/2022,t5,ERIN4,4641,26,S,0,2022
465,4/6/2022,t5,EPNE,4255,24,M,0,2022
466,4/6/2022,t5,AMDU2,4780,25,S,0,2022
467,4/6/2022,t5,AMDU2,4806,11,D,0,2022
468,4/6/2022,t5,AMDU2,4858,26,S,0,2022
469,4/6/2022,t5,AMDU2,4949,38,S,0,2022
470,4/6/2022,t5,AMDU2,5063,26,S,0,2022
471,4/6/2022,t5,YUSC2,5128,126,M,0,2022
472,4/6/2022,t5,AMDU2,5142,16,D,0,2022
